Код в проекте;Device_ID Устройство;Идентификатор объекта;Имя объекта;Тип Объекта;Описание;Текущее значение 85;Флаги состояния 111;PropertyList-371 адрес регистра;PropertyList-371 Количество регистров для чтения;PropertyList-371 Функция для чтения регистра;PropertyList-371Функция для записи в регистр;PropertyList-371 Тип данных;PropertyList-371 Длина данных в битах;PropertyList-371 Бит регистра;PropertyList-371 Извлекаемые данные из массива/Номер слова;PropertyList-371 Коэфф. Преобразования(делитиь значение на него);Состояние события 36;Достоверность 103;Отключен 81;Единицы - 117;Макс. Значение - 65;Мин. Значение - 69;Высокий предел - 45;Низкий предел - 59;Класс уведомления - 17;"356.Задержка по времени (normal)
5";113.Задержка по времени (offnormal);Предел включения 52;"35.Уведомление разрешено
TO_OFFNORMAL, TO_FAULT, TO_NORMAL
[true,true,true]";Признаный переход - 0;Тип уведомления - 72;Отметки времени событий 130;Тексты сообщений о событиях 351;Имя профиля 168;Разрешение - 106;Logs - 133;Приращение COV - 22;Нечувствительность 25;Приоритетный массив - 87;Освободить по умолчанию - 104;Полярность - 84;Неактивный текст - 46;Активный текст - 4;Время COS - 16;Число COS - 15;Сброс числа состояний - 115;Затраченное активное время - 33;Сброс активного времени - 114;Активировать собитие-353;Сигнальное значение мультистейт - 7;Сигнальное значение - 6;Минимально выключенное время - 66;Минимальное включеное время - 67;Значение обратной связи - 40;Состояние текст 110;Число состояний 74;Тайм-аут APDU;Число повторов APDU;Конфигурация;Интервал обновления в сек.;Глобальная переменная;Шаблон;Подстановка;
SCHNEIDER5;700;700;Site:Engineering.DDC.SCHNEIDER5;8;ПЛК BACnet;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SCHNEIDER6;800;800;Site:Engineering.DDC.SCHNEIDER6;8;ПЛК BACnet;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SCHNEIDER7;900;900;Site:Engineering.DDC.SCHNEIDER7;8;ПЛК BACnet;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DANFOSS1;1000;1000;Site:Engineering.DDC.DANFOSS1;8;ПЛК BACnet;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DANFOSS2;1100;1100;Site:Engineering.DDC.DANFOSS2;8;ПЛК BACnet;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SIEMENS2;1200;1200;Site:Engineering.DDC.SIEMENS2;8;ПЛК BACnet;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HAWK1;1300;1300;Site:Engineering.DDC.HAWK1;8;ПЛК BACnet;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Electricity;1;4002;Site:Engineering.Electricity;;Электроснабжение;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;/svg/MAIN_EL.svg;;
TP_1002;1;4003;Site:Engineering.Electricity.TP_1002;;Трансформаторная подстанция №1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;/svg/TP_10_kV.svg;;
SEPAM Section_2;1;3;Site:Engineering.Electricity.TP_1002.SEPAM Section_2;;Ячейка 2  (10kV);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BI_10;1673;4;Site:Engineering.Electricity.TP_1002.SEPAM Section_2.BI_10;3;Положение ?отключено?   S42;;;10;1;0x03;;BOOL;1;4;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;CELL_2_ON;;;
BI_11;1673;5;Site:Engineering.Electricity.TP_1002.SEPAM Section_2.BI_11;3;Положение ?включено?   S42;;;10;1;0x03;;BOOL;1;5;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;CELL_2_OFF;;;
AI_10;1673;6;Site:Engineering.Electricity.TP_1002.SEPAM Section_2.AI_10;0;S42 Ячейка 2 Ток 1, А;;;20;1;0x03;;INT;16;;;1;;;;;;;;;;;;;;;;;;;;true;1;;;;;;;;;;;;;;;;;;;;;;;;CELL_2_CURRENT_1;;;
AI_11;1673;7;Site:Engineering.Electricity.TP_1002.SEPAM Section_2.AI_11;0;S42 Ячейка 2 Ток 2, А;;;30;1;0x03;;INT;16;;;1;;;;;;;;;;;;;;;;;;;;true;1;;;;;;;;;;;;;;;;;;;;;;;;CELL_2_CURRENT_2;;;
AI_12;1673;8;Site:Engineering.Electricity.TP_1002.SEPAM Section_2.AI_12;0;S42 Ячейка 2 Ток 3, А;;;40;1;0x03;;INT;16;;;1;;;;;;;;;;;;;;;;;;;;true;1;;;;;;;;;;;;;;;;;;;;;;;;CELL_2_CURRENT_3;;;
SEPAM Section _3;1;9;Site:Engineering.Electricity.TP_1002.SEPAM Section _3;;Ячейка 3 (10kV);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BI_12;1673;10;Site:Engineering.Electricity.TP_1002.SEPAM Section _3.BI_12;3;Положение ?отключено?   S42;;;11;1;0x03;;BOOL;1;4;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;CELL_3_ON;;;
BI_13;1673;11;Site:Engineering.Electricity.TP_1002.SEPAM Section _3.BI_13;3;Положение ?включено?   S42;;;11;1;0x03;;BOOL;1;5;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;CELL_3_OFF;;;
AI_13;1673;12;Site:Engineering.Electricity.TP_1002.SEPAM Section _3.AI_13;0;S42 Ячейка 3 Ток 1, А;;;21;1;0x03;;INT;16;;;1;;;;;;;;;;;;;;;;;;;;true;1;;;;;;;;;;;;;;;;;;;;;;;;CELL_3_CURRENT_1;;;
AI_14;1673;13;Site:Engineering.Electricity.TP_1002.SEPAM Section _3.AI_14;0;S42 Ячейка 3 Ток 2, А;;;31;1;0x03;;INT;16;;;1;;;;;;;;;;;;;;;;;;;;true;1;;;;;;;;;;;;;;;;;;;;;;;;CELL_3_CURRENT_2;;;
AI_15;1673;14;Site:Engineering.Electricity.TP_1002.SEPAM Section _3.AI_15;0;S42 Ячейка 3 Ток 3, А;;;41;1;0x03;;INT;16;;;1;;;;;;;;;;;;;;;;;;;;true;1;;;;;;;;;;;;;;;;;;;;;;;;CELL_3_CURRENT_3;;;
SEPAM   Section_4;1;15;Site:Engineering.Electricity.TP_1002.SEPAM   Section_4;;Ячейка 4 (10kV);;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BI_14;1673;16;Site:Engineering.Electricity.TP_1002.SEPAM   Section_4.BI_14;3;Положение ?отключено?   S42;;;12;1;0x03;;BOOL;1;4;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;CELL_4_ON;;;
BI_15;1673;17;Site:Engineering.Electricity.TP_1002.SEPAM   Section_4.BI_15;3;Положение ?включено?   S42;;;12;1;0x03;;BOOL;1;5;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;CELL_4_OFF;;;
AI_16;1673;18;Site:Engineering.Electricity.TP_1002.SEPAM   Section_4.AI_16;0;T40 Ячейка 4 Ток 1, А;;;22;1;0x03;;INT;16;;;1;;;;;;;;;;;;;;;;;;;;true;1;;;;;;;;;;;;;;;;;;;;;;;;CELL_4_CURRENT_1;;;
AI_17;1673;19;Site:Engineering.Electricity.TP_1002.SEPAM   Section_4.AI_17;0;T40 Ячейка 4 Ток 2, А;;;32;1;0x03;;INT;16;;;1;;;;;;;;;;;;;;;;;;;;true;1;;;;;;;;;;;;;;;;;;;;;;;;CELL_4_CURRENT_2;;;
AI_18;1673;20;Site:Engineering.Electricity.TP_1002.SEPAM   Section_4.AI_18;0;T40 Ячейка 4 Ток 3, А;;;42;1;0x03;;INT;16;;;1;;;;;;;;;;;;;;;;;;;;true;1;;;;;;;;;;;;;;;;;;;;;;;;CELL_4_CURRENT_3;;;
AI_19;1673;21;Site:Engineering.Electricity.TP_1002.SEPAM   Section_4.AI_19;0;T40 Ячейка 4 Среднее напряжение, В;;;52;1;0x03;;INT;16;;;1;;;;;;;;;;;;;;;;;;;;true;1;;;;;;;;;;;;;;;;;;;;;;;;CELL_4_VOLTAGE;;;
AI_20;1673;22;Site:Engineering.Electricity.TP_1002.SEPAM   Section_4.AI_20;0;T40 Ячейка 4 Частота, Гц;;;62;1;0x03;;INT;16;;;1;;;;;;;;;;;;;;;;;;;;true;1;;;;;;;;;;;;;;;;;;;;;;;;CELL_4_FREQUENCY;;;
SEPAM Section_5;1;23;Site:Engineering.Electricity.TP_1002.SEPAM Section_5;;Ячейка 5 (10kV);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BI_16;1673;24;Site:Engineering.Electricity.TP_1002.SEPAM Section_5.BI_16;3;Положение ?отключено?   S42;;;13;1;0x03;;BOOL;1;4;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;CELL_5_ON;;;
BI_17;1673;25;Site:Engineering.Electricity.TP_1002.SEPAM Section_5.BI_17;3;Положение ?включено?   S42;;;13;1;0x03;;BOOL;1;5;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;CELL_5_OFF;;;
AI_21;1673;26;Site:Engineering.Electricity.TP_1002.SEPAM Section_5.AI_21;0;S42 Ячейка 5 Ток 1, А;;;23;1;0x03;;INT;16;;;1;;;;;;;;;;;;;;;;;;;;true;1;;;;;;;;;;;;;;;;;;;;;;;;CELL_5_CURRENT_1;;;
AI_22;1673;27;Site:Engineering.Electricity.TP_1002.SEPAM Section_5.AI_22;0;S42 Ячейка 5 Ток 2, А;;;33;1;0x03;;INT;16;;;1;;;;;;;;;;;;;;;;;;;;true;1;;;;;;;;;;;;;;;;;;;;;;;;CELL_5_CURRENT_2;;;
AI_23;1673;28;Site:Engineering.Electricity.TP_1002.SEPAM Section_5.AI_23;0;S42 Ячейка 5 Ток 3, А;;;43;1;0x03;;INT;16;;;1;;;;;;;;;;;;;;;;;;;;true;1;;;;;;;;;;;;;;;;;;;;;;;;CELL_5_CURRENT_3;;;
SEPAM Section_7;1;29;Site:Engineering.Electricity.TP_1002.SEPAM Section_7;;Ячейка 7 (10kV);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BI_18;1673;30;Site:Engineering.Electricity.TP_1002.SEPAM Section_7.BI_18;3;Положение ?отключено?   S42;;;14;1;0x03;;BOOL;1;4;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;CELL_7_ON;;;
BI_19;1673;31;Site:Engineering.Electricity.TP_1002.SEPAM Section_7.BI_19;3;Положение ?включено?   S42;;;14;1;0x03;;BOOL;1;5;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;CELL_7_OFF;;;
AI_24;1673;32;Site:Engineering.Electricity.TP_1002.SEPAM Section_7.AI_24;0;T40 Ячейка 7 Ток 1, А;;;24;1;0x03;;INT;16;;;1;;;;;;;;;;;;;;;;;;;;true;1;;;;;;;;;;;;;;;;;;;;;;;;CELL_7_CURRENT_1;;;
AI_25;1673;33;Site:Engineering.Electricity.TP_1002.SEPAM Section_7.AI_25;0;T40 Ячейка 7 Ток 2, А;;;34;1;0x03;;INT;16;;;1;;;;;;;;;;;;;;;;;;;;true;1;;;;;;;;;;;;;;;;;;;;;;;;CELL_7_CURRENT_2;;;
AI_26;1673;34;Site:Engineering.Electricity.TP_1002.SEPAM Section_7.AI_26;0;T40 Ячейка 7 Ток 3, А;;;44;1;0x03;;INT;16;;;1;;;;;;;;;;;;;;;;;;;;true;1;;;;;;;;;;;;;;;;;;;;;;;;CELL_7_CURRENT_3;;;
AI_27;1673;35;Site:Engineering.Electricity.TP_1002.SEPAM Section_7.AI_27;0;T40 Ячейка 7 Среднее напряжение, В;;;54;1;0x03;;INT;16;13;;1;;;;;;;;;;;;;;;;;;;;true;1;;;;;;;;;;;;;;;;;;;;;;;;CELL_7_VOLTAGE;;;
AI_28;1673;36;Site:Engineering.Electricity.TP_1002.SEPAM Section_7.AI_28;0;T40 Ячейка 7 Частота, Гц;;;64;1;0x03;;INT;16;14;;1;;;;;;;;;;;;;;;;;;;;true;1;;;;;;;;;;;;;;;;;;;;;;;;CELL_7_FREQUENCY;;;
SEPAM Section_8;1;37;Site:Engineering.Electricity.TP_1002.SEPAM Section_8;;Ячейка 8 (10kV);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BI_20;1673;38;Site:Engineering.Electricity.TP_1002.SEPAM Section_8.BI_20;3;Положение ?отключено?   S42;;;15;1;0x03;;BOOL;1;4;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;CELL_8_ON;;;
BI_21;1673;39;Site:Engineering.Electricity.TP_1002.SEPAM Section_8.BI_21;3;Положение ?включено?   S42;;;15;1;0x03;;BOOL;1;5;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;CELL_8_OFF;;;
AI_29;1673;40;Site:Engineering.Electricity.TP_1002.SEPAM Section_8.AI_29;0;S42 Ячейка 8 Ток 1, А;;;25;1;0x03;;INT;16;;;1;;;;;;;;;;;;;;;;;;;;true;1;;;;;;;;;;;;;;;;;;;;;;;;CELL_8_CURRENT_1;;;
AI_30;1673;41;Site:Engineering.Electricity.TP_1002.SEPAM Section_8.AI_30;0;S42 Ячейка 8 Ток 2, А;;;35;1;0x03;;INT;16;;;1;;;;;;;;;;;;;;;;;;;;true;1;;;;;;;;;;;;;;;;;;;;;;;;CELL_8_CURRENT_2;;;
AI_31;1673;42;Site:Engineering.Electricity.TP_1002.SEPAM Section_8.AI_31;0;S42 Ячейка 8 Ток 3, А;;;45;1;0x03;;INT;16;;;1;;;;;;;;;;;;;;;;;;;;true;1;;;;;;;;;;;;;;;;;;;;;;;;CELL_8_CURRENT_3;;;
SEPAM Section_9;1;43;Site:Engineering.Electricity.TP_1002.SEPAM Section_9;;Ячейка 9 (10kV);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BI_21;1673;44;Site:Engineering.Electricity.TP_1002.SEPAM Section_9.BI_21;3;Положение ?отключено?   S42;;;16;1;0x03;;BOOL;1;4;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;CELL_9_ON;;;
BI_22;1673;45;Site:Engineering.Electricity.TP_1002.SEPAM Section_9.BI_22;3;Положение ?включено?   S42;;;16;1;0x03;;BOOL;1;5;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;CELL_9_OFF;;;
AI_32;1673;46;Site:Engineering.Electricity.TP_1002.SEPAM Section_9.AI_32;0;S42 Ячейка 9 Ток 1, А;;;26;1;0x03;;INT;16;;;1;;;;;;;;;;;;;;;;;;;;true;1;;;;;;;;;;;;;;;;;;;;;;;;CELL_9_CURRENT_1;;;
AI_33;1673;47;Site:Engineering.Electricity.TP_1002.SEPAM Section_9.AI_33;0;S42 Ячейка 9 Ток 2, А;;;36;1;0x03;;INT;16;;;1;;;;;;;;;;;;;;;;;;;;true;1;;;;;;;;;;;;;;;;;;;;;;;;CELL_9_CURRENT_2;;;
AI_34;1673;48;Site:Engineering.Electricity.TP_1002.SEPAM Section_9.AI_34;0;S42 Ячейка 9 Ток 3, А;;;37;1;0x03;;INT;16;;;1;;;;;;;;;;;;;;;;;;;;true;1;;;;;;;;;;;;;;;;;;;;;;;;CELL_9_CURRENT_3;;;
QF_SECTION;1;49;Site:Engineering.Electricity.TP_1002.QF_SECTION;;Секционные автоматы;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QF_3;1;50;Site:Engineering.Electricity.TP_1002.QF_SECTION.QF_3;;Автоматический выключатель QF_3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BI_100;1673;51;Site:Engineering.Electricity.TP_1002.QF_SECTION.QF_3.BI_100;3;Статус включен;;;100;1;0x03;;BOOL;1;8;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;QF3_ON;;;
BI_101;1673;52;Site:Engineering.Electricity.TP_1002.QF_SECTION.QF_3.BI_101;3;Статус выключен;;;100;1;0x03;;BOOL;1;9;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;QF3_OFF;;;
BI_102;1673;53;Site:Engineering.Electricity.TP_1002.QF_SECTION.QF_3.BI_102;3;Аварийное отключение;;;100;1;0x03;;BOOL;1;11;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;QF3_ALARM;;;
AI_100;1673;54;Site:Engineering.Electricity.TP_1002.QF_SECTION.QF_3.AI_100;0; Напряжение, В;;;200;1;0x03;;INT;16;;;1;;;;;;;;;;;;;;;;;;;;true;1;;;;;;;;;;;;;;;;;;;;;;;;QF3_VOLTAGE;;;
AI_101;1673;55;Site:Engineering.Electricity.TP_1002.QF_SECTION.QF_3.AI_101;0; Ток 1, А;;;300;1;0x03;;INT;16;;;1;;;;;;;;;;;;;;;;;;;;true;1;;;;;;;;;;;;;;;;;;;;;;;;QF3_CURRENT_1;;;
AI_102;1673;56;Site:Engineering.Electricity.TP_1002.QF_SECTION.QF_3.AI_102;0; Ток 2, А;;;400;1;0x03;;INT;16;;;1;;;;;;;;;;;;;;;;;;;;true;1;;;;;;;;;;;;;;;;;;;;;;;;QF3_CURRENT_2;;;
AI_103;1673;57;Site:Engineering.Electricity.TP_1002.QF_SECTION.QF_3.AI_103;0; Ток 3, А;;;500;1;0x03;;INT;16;;;1;;;;;;;;;;;;;;;;;;;;true;1;;;;;;;;;;;;;;;;;;;;;;;;QF3_CURRENT_3;;;
QF_6;1;58;Site:Engineering.Electricity.TP_1002.QF_SECTION.QF_6;;Автоматический выключатель QF_6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BI_103;1673;59;Site:Engineering.Electricity.TP_1002.QF_SECTION.QF_6.BI_103;3;Статус включен;;;101;1;0x03;;BOOL;1;8;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;QF6_ON;;;
BI_104;1673;60;Site:Engineering.Electricity.TP_1002.QF_SECTION.QF_6.BI_104;3;Статус выключен;;;101;1;0x03;;BOOL;1;9;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;QF6_OFF;;;
BI_105;1673;61;Site:Engineering.Electricity.TP_1002.QF_SECTION.QF_6.BI_105;3;Аварийное отключение;;;101;1;0x03;;BOOL;1;11;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;QF6_ALARM;;;
AI_104;1673;62;Site:Engineering.Electricity.TP_1002.QF_SECTION.QF_6.AI_104;0; Напряжение, В;;;201;1;0x03;;INT;16;;;1;;;;;;;;;;;;;;;;;;;;true;1;;;;;;;;;;;;;;;;;;;;;;;;QF6_VOLTAGE;;;
AI_105;1673;63;Site:Engineering.Electricity.TP_1002.QF_SECTION.QF_6.AI_105;0; Ток 1, А;;;301;1;0x03;;INT;16;;;1;;;;;;;;;;;;;;;;;;;;true;1;;;;;;;;;;;;;;;;;;;;;;;;QF6_CURRENT_1;;;
AI_106;1673;64;Site:Engineering.Electricity.TP_1002.QF_SECTION.QF_6.AI_106;0; Ток 2, А;;;401;1;0x03;;INT;16;;;1;;;;;;;;;;;;;;;;;;;;true;1;;;;;;;;;;;;;;;;;;;;;;;;QF6_CURRENT_2;;;
AI_107;1673;65;Site:Engineering.Electricity.TP_1002.QF_SECTION.QF_6.AI_107;0; Ток 3, А;;;501;1;0x03;;INT;16;;;1;;;;;;;;;;;;;;;;;;;;true;1;;;;;;;;;;;;;;;;;;;;;;;;QF6_CURRENT_3;;;
QF_5;1;66;Site:Engineering.Electricity.TP_1002.QF_SECTION.QF_5;;Автоматический выключатель QF_5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BI_113;1673;67;Site:Engineering.Electricity.TP_1002.QF_SECTION.QF_5.BI_113;3;Статус включен;;;102;1;0x03;;BOOL;1;8;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;QF5_ON;;;
BI_114;1673;68;Site:Engineering.Electricity.TP_1002.QF_SECTION.QF_5.BI_114;3;Статус выключен;;;102;1;0x03;;BOOL;1;9;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;QF5_OFF;;;
BI_115;1673;69;Site:Engineering.Electricity.TP_1002.QF_SECTION.QF_5.BI_115;3;Аварийное отключение;;;102;1;0x03;;BOOL;1;11;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;QF5_ALARM;;;
AI_114;1673;70;Site:Engineering.Electricity.TP_1002.QF_SECTION.QF_5.AI_114;0; Напряжение, В;;;203;1;0x03;;INT;16;;;1;;;;;;;;;;;;;;;;;;;;true;1;;;;;;;;;;;;;;;;;;;;;;;;QF5_VOLTAGE;;;
AI_115;1673;71;Site:Engineering.Electricity.TP_1002.QF_SECTION.QF_5.AI_115;0; Ток 1, А;;;302;1;0x03;;INT;16;;;1;;;;;;;;;;;;;;;;;;;;true;1;;;;;;;;;;;;;;;;;;;;;;;;QF5_CURRENT_1;;;
AI_116;1673;72;Site:Engineering.Electricity.TP_1002.QF_SECTION.QF_5.AI_116;0; Ток 2, А;;;402;1;0x03;;INT;16;;;1;;;;;;;;;;;;;;;;;;;;true;1;;;;;;;;;;;;;;;;;;;;;;;;QF5_CURRENT_2;;;
AI_117;1673;73;Site:Engineering.Electricity.TP_1002.QF_SECTION.QF_5.AI_117;0; Ток 3, А;;;502;1;0x03;;INT;16;;;1;;;;;;;;;;;;;;;;;;;;true;1;;;;;;;;;;;;;;;;;;;;;;;;QF5_CURRENT_3;;;
QF_1;1;74;Site:Engineering.Electricity.TP_1002.QF_SECTION.QF_1;;Автоматический выключатель QF_1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BI_123;1673;75;Site:Engineering.Electricity.TP_1002.QF_SECTION.QF_1.BI_123;3;Статус включен;;;102;1;0x03;;BOOL;1;8;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;QF1_ON;;;
BI_124;1673;76;Site:Engineering.Electricity.TP_1002.QF_SECTION.QF_1.BI_124;3;Статус выключен;;;102;1;0x03;;BOOL;1;9;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;QF1_OFF;;;
BI_125;1673;77;Site:Engineering.Electricity.TP_1002.QF_SECTION.QF_1.BI_125;3;Аварийное отключение;;;102;1;0x03;;BOOL;1;11;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;QF1_ALARM;;;
